Temperature,Raifall,Humidity,Soil_Type_Loamy,Soil_Type_Peaty,Soil_Type_Sandy,Soil_Type_Silty,Weather_Condition_Rainy,Weather_Condition_Stormy,Weather_Condition_Sunny,Crop_Type_Corn,Crop_Type_Rice,Crop_Type_Soybeans,Crop_Type_Wheat,split,Yield
0.0420249148438265,0.8288506040278348,0.6566646078310523,False,True,False,False,False,False,True,False,False,False,True,train,7.566359735525964
0.9447766698392692,0.1191210301988392,0.8377275546911518,False,True,False,False,True,False,False,False,True,False,False,train,2.5663314880893955
0.608980763882571,0.065202109674302,0.520701572011909,False,False,False,False,False,True,False,False,False,False,True,train,8.022779800731072
0.024269924203915,0.4093676609563919,0.2999021570259417,False,False,True,False,False,True,False,False,False,False,True,train,3.6648482767709822
0.9147090783652456,0.1253543983129125,0.9978042449826994,True,False,False,False,False,False,False,True,False,False,False,train,7.513451283420133
0.6661996535965227,0.2719771503137739,0.2715748673330196,False,False,True,False,False,False,True,False,False,False,False,train,8.720150655365588
0.8347728382472639,0.8178603411252053,0.9835682346618688,False,False,False,False,False,False,True,False,True,False,False,train,3.510352222187556
0.762722054066834,0.3897904069238715,0.4237130364268702,False,True,False,False,False,True,False,False,False,False,False,train,3.533370550642194
0.3504424015387926,0.66753419404722,0.4938325824434173,False,False,True,False,False,False,True,False,False,False,True,train,6.846029844167475
0.5353946967103702,0.6431328130561615,0.3221407074244835,False,False,True,False,False,False,True,False,False,True,False,train,2.972842074784457
0.5407213539873854,0.7371686239040074,0.789570466157105,False,False,False,False,False,True,False,True,False,False,False,train,3.88470582595742
0.2483708540574754,0.3459069604157258,0.5425952035248696,False,False,True,False,False,False,False,True,False,False,False,train,6.105519133678638
0.0179253768863696,0.0901152229941189,0.9059348746874016,True,False,False,False,False,False,False,False,True,False,False,train,4.727732507699877
0.3440117730516725,0.9689569473554605,0.0944958611506158,True,False,False,False,True,False,False,False,False,False,False,train,6.989949808700765
0.1235554746027908,0.9373055739445116,0.4175510758381133,False,False,True,False,False,False,False,False,False,False,True,train,9.300840215064884
0.7569339254833676,0.7187179041259267,0.0584034191648532,False,False,False,False,True,False,False,False,False,False,True,train,4.426263515236217
0.0976302387521267,0.9927165790019008,0.6099602065569671,True,False,False,False,False,True,False,False,False,False,False,train,8.16016982764663
0.8525672460684526,0.6157747893997151,0.1141482084769888,False,True,False,False,False,False,False,False,True,False,False,train,3.5000356569518427
0.338850558841721,0.3661153875411737,0.2260158097279851,False,False,False,False,False,False,True,False,True,False,False,train,8.417993433880913
0.2512433293439906,0.6187236488240526,0.0161761856853284,False,False,True,False,False,False,True,False,True,False,False,train,3.9903765100251833
0.9760165430816494,0.8710648593547522,0.3979433268003214,False,True,False,False,True,False,False,False,False,True,False,train,4.226141286550157
0.3559477126604031,0.1279790141371138,0.9469666775458409,False,False,False,True,False,False,False,False,False,True,False,train,3.1641384030993995
0.2589043679027363,0.941041208391375,0.023863640104356,False,True,False,False,False,False,True,False,False,True,False,train,6.153655796827681
0.1811124825987953,0.0181200857980755,0.0807388882877943,False,False,False,False,False,False,True,False,False,True,False,train,7.076451741932198
0.2899405766476324,0.6151073859775864,0.5408856820809647,False,False,True,False,True,False,False,False,False,False,False,train,5.580023117596065
0.7309540827978158,0.8730491206823675,0.9102754595573264,False,True,False,False,True,False,False,False,False,False,True,train,9.24986815548111
0.6165260420343956,0.9633738037174552,0.0876600346673865,False,False,True,False,True,False,False,False,True,False,False,train,2.264095487202618
0.5009661584753524,0.8671121936649546,0.6384762623494693,True,False,False,False,False,False,True,False,False,False,True,train,8.897691386575506
0.4188509074268904,0.7453512361040409,0.5242005941358223,True,False,False,False,False,False,False,False,True,False,False,train,4.193312301378401
0.8491885773186847,0.1786106167794237,0.7434902444124305,False,True,False,False,False,False,True,False,False,False,True,train,7.2831060191666035
0.3958178989731555,0.7423124132562958,0.9459620055632424,False,False,True,False,False,False,False,False,False,False,False,train,8.221739912580405
0.3581017109779529,0.7510140839206185,0.1310321566725393,True,False,False,False,True,False,False,False,False,True,False,train,8.922356473608197
0.694529828446913,0.1174375875111038,0.8809343481306076,False,True,False,False,False,True,False,True,False,False,False,train,7.894611646012033
0.9495550462271396,0.092849541509389,0.6428828576731,False,True,False,False,True,False,False,False,False,False,True,train,9.02997218941544
0.9489168233725248,0.1177967844962941,0.9764255106109564,True,False,False,False,True,False,False,False,False,False,False,train,4.020243117091556
0.1667113786996674,0.5953165190976557,0.5672807123936408,False,False,False,False,False,False,True,False,False,True,False,train,9.964087744126932
0.5004645278119473,0.2276022637101083,0.0469524331409956,False,False,False,True,False,False,True,True,False,False,False,train,4.173313530909244
0.3865632982734155,0.3820682815609872,0.9829852459375816,False,False,True,False,False,False,False,False,False,True,False,train,9.562456322013094
0.9002099808245589,0.3439734533657663,0.6733228726449081,False,True,False,False,False,False,True,False,False,True,False,train,7.6720120906110365
0.1119909803450435,0.9969084282845188,0.6892767768778507,False,False,True,False,False,True,False,False,True,False,False,train,4.869290904211673
0.5969601320493092,0.7317907483938343,0.2495789124235248,False,False,True,False,False,False,True,False,False,True,False,train,7.947481391649555
0.6047690834298816,0.4872787974206911,0.7429147594224037,False,False,False,True,False,True,False,False,False,True,False,train,7.703058954757892
0.0407870891215281,0.193295120678943,0.6289150124037262,False,False,True,False,False,False,True,False,True,False,False,train,9.95819963659125
0.9224003561030264,0.0089241639499898,0.1897793941732137,False,False,False,False,False,False,False,False,False,True,False,train,2.8036603974477474
0.5141952606309137,0.7135835240428123,0.0861389054924731,True,False,False,False,False,False,False,True,False,False,False,train,5.163346161939025
0.0727051855322419,0.151253090842136,0.9880115908189004,False,False,False,True,True,False,False,True,False,False,False,train,8.002646206559648
0.139042964803169,0.4532459835218219,0.6051217544064675,False,True,False,False,False,False,True,False,True,False,False,train,5.4940625427766
0.0697554313137259,0.6790123472534066,0.4524969319927345,True,False,False,False,False,False,False,False,False,False,False,train,7.123045973153928
0.3078632463691817,0.9451094633975324,0.5404905421119459,False,True,False,False,True,False,False,False,False,True,False,train,5.913818037999354
0.463242530929314,0.0849715128760709,0.9759500015623972,False,False,False,False,True,False,False,False,False,False,True,train,7.978380460478855
0.3278773055924782,0.4159449906342189,0.4652660428834225,False,False,True,False,False,True,False,False,False,False,True,train,4.191910252344145
0.6934724138114063,0.1562844943365853,0.8033791016847907,False,False,False,False,False,False,False,False,False,False,True,train,2.880590081448457
0.9473067130859736,0.5171573028656063,0.9993780233332208,False,False,False,False,True,False,False,False,False,True,False,train,7.719187504618309
0.6667296562646041,0.5539743018883908,0.1510329337018315,False,False,False,False,False,False,True,False,True,False,False,train,8.116546110075443
0.7499244357264823,0.6162713506691434,0.6482616699399348,False,False,False,True,False,True,False,False,False,False,False,train,5.993491607466644
0.276661485233409,0.2168206260285989,0.3097687547367755,True,False,False,False,False,True,False,False,False,True,False,train,7.779291075708357
0.1465048441384721,0.927344398039156,0.7256131585986567,False,False,False,True,True,False,False,False,False,True,False,train,7.724965735774286
0.2912651151740715,0.8863496677053906,0.7449190642109995,False,False,True,False,True,False,False,False,False,True,False,train,6.650568157800427
0.894315181449671,0.6187250366661614,0.8202569663809056,False,False,False,True,True,False,False,True,False,False,False,train,6.234139585148721
0.1521100191614426,0.6580687505650814,0.7625272882970995,False,False,True,False,True,False,False,False,False,True,False,train,8.885342574311082
0.8139426962871306,0.6230479823082071,0.4752044859515154,False,False,False,True,False,False,True,True,False,False,False,train,3.59703046127934
0.3720670239937174,0.045165609526499,0.2010518964840699,False,False,True,False,False,False,False,False,False,True,False,train,7.294485828595397
